Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,181.484,175.849,170.213,166.562,162.911,159.26,155.608,151.957,146.205,140.452,134.7,128.947,123.195,119.658,116.121,112.584,109.048,105.511,103.74,101.969,100.198,98.428,96.657,95.556,94.456,93.355,92.254,91.154,90.795,90.437,90.078,89.72,89.361,89.007,88.652,88.298,87.943,87.589,87.255,86.922,86.588,86.254,85.921,84.721,83.521,82.321,81.121,79.921,78.854,77.788,76.721,75.655,74.588,73.667,72.747,71.826,
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,551.121,545.51,539.898,534.645,529.392,524.139,518.885,513.632,508.258,502.885,497.511,492.137,486.763,480.736,474.709,468.683,462.656,456.629,449.341,442.054,434.766,427.478,420.191,410.706,401.221,391.735,382.25,372.765,364.512,356.259,348.006,339.753,331.5,326.244,320.988,315.732,310.476,305.22,301.53,297.841,294.151,290.462,286.773,282.4,278.027,273.654,269.281,264.908,261.025,257.142,253.259,249.377,245.494,241.8,238.105,234.411,
Angola,AGO,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,500.886,496.114,491.343,486.67,481.997,477.324,472.652,467.979,463.404,458.83,454.256,449.682,445.108,440.538,435.968,431.398,426.828,422.258,421.186,420.114,419.042,417.971,416.899,414.221,411.542,408.864,406.185,403.507,403.415,403.324,403.233,403.141,403.05,401.92,400.789,399.659,398.529,397.398,391.986,386.574,381.162,375.75,370.338,366.422,362.505,358.588,354.672,350.755,346.285,341.814,337.344,332.874,328.404,324.596,320.788,316.981,
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,151.058,139.856,128.654,129.676,130.698,131.72,132.743,133.765,131.93,130.095,128.26,126.425,124.59,121.461,118.332,115.203,112.075,108.946,105.126,101.307,97.488,93.668,89.849,86.023,82.196,78.37,74.543,70.717,71.986,73.255,74.524,75.793,77.062,76.007,74.951,73.895,72.839,71.783,68.008,64.234,60.459,56.684,52.909,52.987,53.066,53.145,53.224,53.303,52.962,52.622,52.281,51.941,51.6,50.963,50.325,49.688,
Andorra,AND,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,298.880111,295.1636234,291.208835,286.2954731,281.4568301,276.7624615,272.1530716,267.6690129,263.3475352,258.9820501,254.5376726,250.0205774,245.4571773,241.2412019,237.1385774,233.1819045,229.465165,225.8737512,220.809892,215.6475205,210.3250186,204.6898811,198.8909156,194.6993063,190.4979564,186.3359513,182.2169932,178.1399019,175.1396915,172.1890149,169.1580875,166.2469002,164.1100228,161.5670716,159.0299159,155.9875016,153.3658488,150.757223,149.1393025,147.5480843,145.9836725,144.4458916,142.9182244,140.8832017,138.8557451,136.8297219,134.6954537,132.5724893,130.2890552,128.0595448,125.8873086,123.8050478,121.7473573,120.2221864,118.7245873,117.2441033,
United Arab Emirates,ARE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,253.994,246.849,239.703,233.783,227.863,221.943,216.023,210.103,205.112,200.121,195.13,190.139,185.148,180.843,176.537,172.231,167.926,163.62,159.812,156.004,152.195,148.387,144.579,141.138,137.696,134.255,130.814,127.373,124.186,121,117.813,114.627,111.44,108.277,105.113,101.95,98.786,95.623,92.397,89.17,85.943,82.717,79.49,76.507,73.524,70.541,67.557,64.574,63.499,62.424,61.349,60.274,59.199,58.282,57.365,56.448,
Argentina,ARG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,156.247,151.895,147.544,146.334,145.124,143.915,142.705,141.495,139.869,138.243,136.617,134.991,133.365,131.776,130.186,128.597,127.008,125.418,123.381,121.345,119.308,117.271,115.234,114.281,113.328,112.374,111.421,110.467,108.715,106.963,105.211,103.46,101.708,100.41,99.112,97.814,96.516,95.219,94.412,93.606,92.799,91.993,91.187,89.442,87.697,85.952,84.206,82.461,81.321,80.18,79.04,77.899,76.759,75.95,75.142,74.333,
Armenia,ARM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,136.917,131.925,126.933,123.152,119.371,115.59,111.809,108.028,105.752,103.476,101.2,98.924,96.648,97.422,98.195,98.969,99.742,100.516,100.61,100.705,100.799,100.894,100.988,108.642,116.295,123.949,131.602,139.256,136.312,133.369,130.425,127.481,124.538,121.695,118.853,116.011,113.168,110.326,106.198,102.07,97.943,93.815,89.687,88.006,86.324,84.642,82.96,81.278,79.373,77.468,75.563,73.658,71.752,71.087,70.421,69.756,
American Samoa,ASM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,244.924,241.326,237.728,234.223,230.719,227.215,223.711,220.207,216.951,213.696,210.441,207.185,203.93,200.904,197.878,194.852,191.827,188.801,185.991,183.181,180.372,177.562,174.752,172.146,169.541,166.935,164.33,161.724,159.313,156.901,154.489,152.078,149.666,147.426,145.187,142.947,140.707,138.467,136.401,134.334,132.267,130.2,128.133,126.218,124.304,122.39,120.475,118.561,117.031,115.501,113.97,112.44,110.91,109.515,108.119,106.724,
Australia,AUS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,115.945,109.193,112.52,115.744,118.397,118.821,119.572,117.181,116.936,112.951,118.68,111.436,109.266,105.585,107.606,100.657,98.8,95.829,93.146,86.588,84.083,81.313,82.146,79.373,77.797,78.647,73.685,73.581,71.998,70.171,66.315,65.318,64.989,61.613,62.04,60.379,60.105,59.606,57.991,55.867,56.11,53.626,53.059,50.696,49.519,47.594,48.234,48.13,46.642,47.91,45.705,46.08,,,,,
Austria,AUT,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,117.967,112.97,113.059,112.629,108.695,109.451,108.257,108.787,105.005,110.577,107.566,103.892,101.461,100.93,99.87,99.27,98.131,96.938,93.223,92.152,91.553,89.612,89.881,90.61,83.971,82.648,80.393,76.616,73.124,73.305,74.515,73.028,71.571,72.383,70.396,67.807,67.344,61.936,62.302,63.655,63.086,60.189,58.798,59.511,54.984,55.04,51.653,51.827,50.272,50.029,48.679,49.343,46.718,45.316,46.009,,
Azerbaijan,AZE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,83.727,81.432,79.138,77.284,75.43,73.576,71.723,69.869,68.648,67.426,66.205,64.984,63.762,64.503,65.244,65.984,66.725,67.466,68,68.534,69.068,69.602,70.136,69.28,68.425,67.569,66.714,65.858,76.205,86.553,96.9,107.248,117.595,116.948,116.301,115.654,115.007,114.36,115.618,116.875,118.133,119.39,120.648,114.889,109.131,103.372,97.613,91.855,91.028,90.202,89.375,88.549,87.723,86.907,86.091,85.275,
Burundi,BDI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,407.843,404.56,401.276,398.058,394.839,391.621,388.403,385.185,383.697,382.209,380.721,379.233,377.745,373.269,368.793,364.317,359.841,355.365,352.128,348.891,345.654,342.417,339.18,337.022,334.863,332.705,330.546,328.388,332.267,336.147,340.026,343.905,347.785,343.315,338.846,334.376,329.906,325.437,326.343,327.248,328.154,329.06,329.966,327,324.034,321.068,318.103,315.137,307.511,299.885,292.259,284.633,277.007,272.038,267.069,262.1,
Belgium,BEL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,109.744,104.904,109.022,108.092,106.719,108.226,107.443,104.835,106.235,106.736,105.342,102.812,102.257,100.638,99.246,100.222,98.688,96.093,96.095,93.705,90.859,88.339,88.479,88.361,83.767,81.79,82.038,78.651,76.649,76.562,75.066,72.279,73.369,71.632,73.234,71.335,70.636,70.726,70.915,67.424,68.603,67.762,66.935,65.407,62.807,62.195,61.1,63.042,61.637,61.088,59.248,59.442,57.004,57.438,53.222,53.912,
Benin,BEN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,463.376,457.518,451.66,443.165,434.671,426.176,417.682,409.187,399.013,388.838,378.664,368.49,358.315,350.637,342.959,335.281,327.603,319.925,315.611,311.296,306.981,302.666,298.351,290.379,282.407,274.435,266.463,258.491,253.919,249.346,244.773,240.2,235.628,239.82,244.013,248.205,252.398,256.59,256.818,257.046,257.273,257.501,257.729,253.713,249.696,245.68,241.664,237.648,235.644,233.641,231.638,229.635,227.631,225.394,223.156,220.918,
Burkina Faso,BFA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,463.647,457.826,452.005,446.67,441.335,436,430.666,425.331,419.361,413.392,407.422,401.452,395.482,387.634,379.786,371.938,364.09,356.242,342.565,328.887,315.209,301.532,287.854,287.98,288.106,288.232,288.358,288.484,291.053,293.621,296.19,298.758,301.327,301.388,301.45,301.511,301.572,301.633,300.614,299.594,298.574,297.554,296.535,293.009,289.483,285.958,282.432,278.906,274.546,270.186,265.825,261.465,257.104,253.32,249.536,245.752,
Bangladesh,BGD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,289.549,285.068,280.588,276.528,272.468,268.409,264.349,260.289,259.216,258.142,257.068,255.994,254.921,249.315,243.71,238.104,232.499,226.893,224.202,221.511,218.82,216.128,213.437,211.109,208.782,206.454,204.127,201.799,199.789,197.78,195.77,193.76,191.751,189.789,187.827,185.865,183.903,181.942,176.149,170.357,164.565,158.773,152.98,148.699,144.418,140.137,135.856,131.575,127.94,124.306,120.672,117.038,113.403,110.296,107.188,104.08,
Bulgaria,BGR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,114.233,111.441,113.264,108.752,102.137,101.441,100.698,100.948,100.316,103.584,99.985,101.51,99.431,95.89,97.386,96.148,96.224,97.41,99.604,99.424,98.616,97.129,98.377,95.48,98.28,98.306,95.598,94.946,97.619,95.678,98.031,96.694,99.154,94.933,98.323,99.894,99.882,106.581,98.614,99.09,98.77,94.995,93.982,91.517,92.409,92.411,93.409,91.442,88.953,87.552,88.259,,,,,,
Bahrain,BHR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,233.713,223.841,213.969,206.791,199.613,192.435,185.257,178.079,172.791,167.503,162.215,156.927,151.639,147.656,143.673,139.69,135.706,131.723,128.665,125.606,122.548,119.489,116.431,114.023,111.615,109.207,106.799,104.391,102.296,100.2,98.105,96.009,93.914,91.936,89.957,87.979,86.001,84.023,82.133,80.243,78.353,76.463,74.573,72.824,71.075,69.326,67.578,65.829,64.95,64.072,63.193,62.315,61.436,60.648,59.86,59.072,
"Bahamas, The",BHS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,217.017,214.075,211.132,208.403,205.673,202.944,200.214,197.485,194.951,192.417,189.883,187.349,184.815,182.461,180.107,177.753,175.399,173.044,170.856,168.667,166.479,164.291,162.102,160.066,158.03,155.994,153.958,151.922,150.848,149.774,148.7,147.626,146.551,146.406,146.26,146.114,145.968,145.822,144.428,143.034,141.64,140.247,138.853,137.558,136.264,134.97,133.676,132.382,130.391,128.401,126.411,124.421,122.431,121.111,119.791,118.471,
Bosnia and Herzegovina,BIH,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,175.124,171.976,168.829,165.163,161.498,157.832,154.166,150.5,146.608,142.715,138.822,134.929,131.036,127.778,124.519,121.26,118.001,114.742,113.709,112.676,111.644,110.611,109.578,108.531,107.484,106.436,105.389,104.342,104.614,104.886,105.158,105.43,105.702,102.253,98.805,95.356,91.907,88.459,86.101,83.742,81.384,79.026,76.668,75.798,74.928,74.058,73.188,72.318,71.406,70.493,69.581,68.668,67.756,66.926,66.097,65.267,
Belarus,BLR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,104.508,104.837,109.131,104.983,97.257,99.013,96.91,100.426,96.185,98.177,101.534,98.002,100.316,99.88,98.305,102.083,103.144,103.425,106.934,106.096,109.571,107.353,107.542,108.222,112.707,109.449,98,99.587,98.93,101.869,107.204,110.009,115.429,125.084,125.791,131.102,128.355,130.663,130.867,134.829,125.352,130.341,137.386,130.918,128.981,127.984,122.493,115.618,111.716,113.303,112.172,114.428,97.577,95.303,90.016,,
Belize,BLZ,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,222.28,215.95,209.619,203.711,197.802,191.894,185.985,180.077,174.464,168.851,163.238,157.626,152.013,147.234,142.456,137.677,132.899,128.121,125.452,122.784,120.116,117.448,114.78,112.538,110.295,108.053,105.811,103.569,109.037,114.506,119.975,125.444,130.913,133.848,136.784,139.719,142.655,145.59,145.916,146.242,146.568,146.894,147.22,145.414,143.608,141.802,139.996,138.19,137.806,137.422,137.038,136.654,136.27,134.368,132.467,130.565,
Bermuda,BMU,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
