Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,227.253,223.17,219.087,215.33,211.574,207.817,204.06,200.304,197.676,195.047,192.419,189.791,187.163,183.913,180.663,177.413,174.163,170.914,166.634,162.354,158.074,153.794,149.514,148.76,148.005,147.25,146.496,145.741,144.988,144.235,143.482,142.729,141.976,141.726,141.475,141.224,140.974,140.723,139.936,139.15,138.363,137.576,136.79,134.889,132.989,131.088,129.188,127.287,125.811,124.335,122.859,121.383,119.907,118.457,117.007,115.557,
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,604.597,598.907,593.218,587.751,582.284,576.817,571.35,565.884,560.334,554.785,549.236,543.687,538.138,531.889,525.64,519.392,513.143,506.894,499.247,491.599,483.951,476.304,468.656,459.361,450.065,440.77,431.474,422.179,413.481,404.784,396.086,387.388,378.69,373.408,368.125,362.842,357.559,352.277,348.11,343.943,339.776,335.61,331.443,326.827,322.21,317.594,312.978,308.362,304.469,300.576,296.684,292.791,288.899,285.084,281.27,277.455,
Angola,AGO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,565.41,560.56,555.709,550.873,546.036,541.199,536.363,531.526,526.657,521.788,516.918,512.049,507.18,502.553,497.926,493.3,488.673,484.046,482.385,480.725,479.064,477.403,475.742,475.181,474.62,474.059,473.498,472.938,472.795,472.653,472.51,472.368,472.225,468.635,465.045,461.454,457.864,454.274,447.822,441.371,434.92,428.469,422.017,417.584,413.15,408.717,404.283,399.85,395.313,390.776,386.239,381.702,377.165,373.232,369.298,365.365,
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,160.48,150.942,141.405,143.06,144.716,146.372,148.027,149.683,152.04,154.398,156.756,159.113,161.471,158.009,154.547,151.085,147.623,144.162,143.457,142.752,142.048,141.343,140.639,139.531,138.422,137.314,136.206,135.098,137.983,140.867,143.752,146.637,149.521,147.646,145.771,143.896,142.021,140.146,134.878,129.61,124.343,119.075,113.807,111.782,109.757,107.731,105.706,103.68,100.674,97.668,94.662,91.656,88.65,86.958,85.266,83.574,
Andorra,AND,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,357.6378994,353.1872582,348.645833,343.9352126,339.2268881,334.5464298,329.9066843,325.3091022,320.8748707,316.4191466,311.9307287,307.36289,302.7589581,298.2032808,293.7490478,289.4183185,285.2919332,281.2634794,279.9812103,278.5567139,276.9545261,274.9443918,272.7415462,265.7680472,258.8141119,251.9160141,245.0942165,238.320423,234.9046693,231.5651837,228.0485397,224.7847744,222.747157,219.7131299,216.7093351,212.7595239,209.7106989,206.6638152,204.414526,202.1874891,199.968176,197.6349054,195.2769805,193.0361928,190.7304394,188.3440347,185.7067062,183.0269327,180.9895794,179.081505,177.2865315,175.4657423,173.5316187,171.4311175,169.4914744,167.7272518,
United Arab Emirates,ARE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,328.378,318.93,309.482,301.404,293.326,285.248,277.17,269.091,262.196,255.301,248.406,241.511,234.616,228.71,222.804,216.897,210.991,205.085,199.994,194.903,189.812,184.722,179.631,175.22,170.809,166.398,161.986,157.575,153.718,149.86,146.003,142.145,138.288,134.801,131.314,127.827,124.34,120.852,117.757,114.662,111.567,108.472,105.377,102.666,99.956,97.245,94.534,91.823,90.296,88.769,87.242,85.714,84.187,82.764,81.341,79.918,
Argentina,ARG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,255.108,252.663,250.219,250.998,251.778,252.558,253.338,254.118,251.882,249.645,247.409,245.172,242.935,240.729,238.522,236.316,234.109,231.902,229.122,226.342,223.561,220.781,218,216.904,215.808,214.712,213.616,212.519,209.918,207.317,204.716,202.114,199.513,196.41,193.307,190.204,187.1,183.997,182.878,181.76,180.641,179.522,178.403,176.163,173.923,171.683,169.443,167.203,165.272,163.341,161.41,159.48,157.549,155.616,153.684,151.751,
Armenia,ARM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,225.671,219.648,213.626,208.4,203.175,197.949,192.724,187.498,184.138,180.778,177.418,174.058,170.698,172.452,174.205,175.958,177.712,179.465,179.372,179.28,179.188,179.095,179.003,185.435,191.868,198.301,204.734,211.167,218.861,226.556,234.251,241.945,249.64,243.642,237.644,231.646,225.649,219.651,213.162,206.673,200.185,193.696,187.207,183.434,179.66,175.887,172.113,168.34,169.284,170.227,171.171,172.114,173.058,171.387,169.717,168.047,
American Samoa,ASM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,275.552,272.245,268.938,266.171,263.405,260.639,257.872,255.106,252.479,249.853,247.226,244.599,241.972,239.481,236.99,234.498,232.007,229.516,227.155,224.793,222.432,220.071,217.71,215.471,213.232,210.993,208.753,206.514,204.394,202.274,200.154,198.034,195.914,193.91,191.905,189.9,187.895,185.891,183.993,182.095,180.197,178.299,176.401,174.606,172.811,171.016,169.222,167.427,165.5,163.573,161.646,159.719,157.793,156.056,154.32,152.584,
